Timestamp,what's your age ,what's your degree ,what is your year of studies ,what is your major ,  How many hours do you sleep on average per night?  ,   How many hours do you spend on screens per day (excluding academic work)?  ,  Do you engage in regular physical activity ? ,"  How many caffeinated drinks (coffee, tea, energy drinks) do you consume per day?  ",  How many hours do you study per week outside of class?  ,do u have exams in the next two weeks ,  How would you rate your current academic workload?  ,"   On a scale from 1 to 10, how would you rate your current stress level?  "
09/02/2026 06:59:00,21,licence,3rd,Law,7–8 hours,2–4 hours,yes,0,Less than 10 hours,yes,low,3
26/03/2026 16:11:14,22,cycle d'ingénieur,2nd,GII,5–6 hours,More than 6 hours,no,1,Less than 10 hours,yes,high,10
01/05/2026 16:03:00,26,mastère,1st,AI & machine learning,5–6 hours,2–4 hours,yes,3 or more,Less than 10 hours,no,low,6
19/03/2026 11:14:00,20,licence,3rd,Informatique de gestion,5–6 hours,Less than 2 hours,no,0,Less than 10 hours,no,low,2
07/02/2026 13:37:00,26,mastère,2nd,Environmental science,5–6 hours,4–6 hours,yes,0,More than 30 hours,yes,low,4
19/04/2026 09:19:00,22,cycle d'ingénieur,4th,Data science,7–8 hours,More than 6 hours,yes,1,Less than 10 hours,yes,low,7
31/01/2026 07:33:00,23,cycle d'ingénieur,3rd,Computer science,Less than 5 hours,4–6 hours,no,1,10–20 hours,yes,moderate,8
20/04/2026 13:39:00,20,préparatoire intégrée,2nd,AI,Less than 5 hours,More than 6 hours,no,0,20–30 hours,yes,high,6
29/03/2026 01:45:00,27,cycle d'ingénieur,3rd,Healthcare IT,Less than 5 hours,More than 6 hours,yes,0,10–20 hours,no,low,4
26/03/2026 02:02:16,26,doctorat,1st,Architecture and urban planning,More than 8 hours,More than 6 hours,yes,3 or more,More than 30 hours,no,high,7
23/03/2026 10:30:00,19,licence,1st,Psychology,5–6 hours,More than 6 hours,no,1,20–30 hours,yes,high,3
12/02/2026 21:26:00,21,cycle d'ingénieur,3rd,Telecommunications engineering,Less than 5 hours,4–6 hours,no,2,20–30 hours,yes,moderate,7
01/04/2026 07:21:00,32,mastère,2nd,Project management,More than 8 hours,More than 6 hours,no,2,10–20 hours,yes,moderate,7
18/03/2026 05:24:00,20,préparatoire intégrée,2nd,Computer science,More than 8 hours,More than 6 hours,no,0,10–20 hours,yes,moderate,4
27/01/2026 21:41:00,25,mastère,1st,Graphic design,5–6 hours,More than 6 hours,no,2,20–30 hours,no,high,7
26/02/2026 08:03:00,20,licence,2nd,English,5–6 hours,More than 6 hours,no,3 or more,More than 30 hours,yes,high,10
07/01/2026 20:47:00,24,cycle d'ingénieur,4th,Data science,Less than 5 hours,More than 6 hours,no,2,More than 30 hours,no,high,10
03/02/2026 20:32:00,24,cycle d'ingénieur,2nd,Software engineering,More than 8 hours,2–4 hours,no,0,Less than 10 hours,no,low,1
11/02/2026 09:27:00,27,cycle d'ingénieur,1st,Telecommunications engineering,More than 8 hours,4–6 hours,yes,1,Less than 10 hours,yes,low,4
01/03/2026 21:46:00,21,licence,1st,English,5–6 hours,More than 6 hours,yes,0,10–20 hours,yes,moderate,9
26/01/2026 02:51:00,19,préparatoire intégrée,2nd,Chemistry,More than 8 hours,2–4 hours,yes,2,Less than 10 hours,no,low,3
16/02/2026 12:12:00,28,mastère,2nd,Environmental science,7–8 hours,4–6 hours,no,0,Less than 10 hours,yes,low,5
17/04/2026 12:44:00,27,médecine,3rd,General medicine,Less than 5 hours,2–4 hours,yes,3 or more,10–20 hours,yes,moderate,8
05/05/2026 03:46:00,24,licence,2nd,Mathematics,5–6 hours,2–4 hours,no,2,Less than 10 hours,yes,moderate,4
03/03/2026 03:26:00,22,licence,1st,English,5–6 hours,More than 6 hours,yes,0,10–20 hours,yes,moderate,9
18/01/2026 13:27:00,22,licence,3rd,Physics,7–8 hours,4–6 hours,yes,1,10–20 hours,yes,low,3
27/03/2026 19:21:00,23,licence,2nd,Physics,5–6 hours,4–6 hours,no,2,20–30 hours,yes,moderate,6
05/03/2026 03:48:00,21,médecine,2nd,Neurology,7–8 hours,More than 6 hours,yes,1,10–20 hours,yes,low,2
07/04/2026 13:19:00,20,Bachelor degree at TBS,3rd,Marketing,7–8 hours,2–4 hours,no,0,More than 30 hours,no,high,7
21/03/2026 07:13:47,18,pharmacie,1st,Pharmacie,More than 8 hours,4–6 hours,yes,0,Less than 10 hours,yes,moderate,5
06/01/2026 04:45:00,21,mastère,1st,Project management,5–6 hours,4–6 hours,yes,1,10–20 hours,yes,moderate,7
27/01/2026 05:10:00,17,licence,1st,Law,7–8 hours,Less than 2 hours,no,0,20–30 hours,yes,low,3
14/04/2026 05:59:00,25,cycle d'ingénieur,5th,Embedded systems,Less than 5 hours,4–6 hours,yes,2,Less than 10 hours,yes,low,7
13/02/2026 23:41:00,19,cycle d'ingénieur,1st,Biomedical engineering,5–6 hours,4–6 hours,yes,1,10–20 hours,no,high,5
27/04/2026 23:14:00,29,mastère,1st,Data analytics,Less than 5 hours,4–6 hours,yes,0,20–30 hours,yes,moderate,8
23/01/2026 22:28:00,19,cycle d'ingénieur,3rd,Embedded systems,5–6 hours,More than 6 hours,no,3 or more,20–30 hours,yes,moderate,6
12/03/2026 21:45:00,27,mastère,1st,Cybersecurity,Less than 5 hours,More than 6 hours,yes,2,20–30 hours,yes,low,7
10/02/2026 20:56:00,26,cycle d'ingénieur,1st,Telecommunications engineering,More than 8 hours,4–6 hours,yes,1,Less than 10 hours,yes,low,5
24/03/2026 01:44:00,29,doctorat,2nd,Architecture and urban planning,5–6 hours,More than 6 hours,no,1,More than 30 hours,no,high,8
13/03/2026 00:01:00,24,cycle d'ingénieur,2nd,Robotics,5–6 hours,4–6 hours,no,3 or more,10–20 hours,no,high,10
05/04/2026 18:46:00,22,mastère,1st,Data analytics,5–6 hours,More than 6 hours,no,1,10–20 hours,yes,high,8
19/03/2026 21:08:00,28,cycle d'ingénieur,5th,Mécatronique,5–6 hours,4–6 hours,no,1,Less than 10 hours,yes,low,8
18/01/2026 19:17:00,34,doctorat,3rd,Mathematics,Less than 5 hours,Less than 2 hours,no,3 or more,20–30 hours,yes,moderate,7
07/03/2026 02:22:00,23,cycle d'ingénieur,1st,Biomedical engineering,More than 8 hours,2–4 hours,yes,2,Less than 10 hours,no,low,1
29/04/2026 17:59:00,22,licence,2nd,Informatique de gestion,7–8 hours,More than 6 hours,no,0,10–20 hours,yes,moderate,4
18/02/2026 22:57:00,24,cycle d'ingénieur,2nd,Civil engineering,Less than 5 hours,2–4 hours,no,3 or more,10–20 hours,yes,high,10
19/02/2026 06:23:00,25,mastère,2nd,Business law,5–6 hours,2–4 hours,yes,0,10–20 hours,yes,high,4
25/02/2026 08:49:00,24,cycle d'ingénieur,3rd,Telecommunications engineering,7–8 hours,More than 6 hours,no,0,Less than 10 hours,no,high,6
17/01/2026 17:12:00,24,licence,3rd,Web development,5–6 hours,2–4 hours,no,1,Less than 10 hours,no,low,1
18/01/2026 00:06:00,23,cycle d'ingénieur,2nd,Robotics,Less than 5 hours,More than 6 hours,no,0,10–20 hours,yes,high,9
08/03/2026 09:04:10,23,cycle d'ingénieur,4th,Biomedical engineering ,Less than 5 hours,2–4 hours,no,2,10–20 hours,yes,moderate,5
08/03/2026 19:49:00,26,mastère,1st,Project management,7–8 hours,4–6 hours,yes,0,10–20 hours,yes,low,2
20/02/2026 19:50:00,30,doctorat,3rd,Architecture and urban planning,7–8 hours,Less than 2 hours,yes,1,10–20 hours,no,low,2
16/03/2026 11:19:00,25,cycle d'ingénieur,2nd,Computer science,5–6 hours,2–4 hours,no,3 or more,10–20 hours,yes,moderate,6
03/03/2026 17:53:00,22,cycle d'ingénieur,5th,Data science,5–6 hours,2–4 hours,yes,1,Less than 10 hours,yes,moderate,9
06/02/2026 06:20:00,20,cycle d'ingénieur,5th,Civil engineering,Less than 5 hours,4–6 hours,no,0,More than 30 hours,yes,high,6
12/04/2026 02:59:00,25,mastère,1st,AI & machine learning,Less than 5 hours,2–4 hours,yes,3 or more,Less than 10 hours,no,low,6
13/04/2026 13:50:00,26,cycle d'ingénieur,2nd,Mechanical engineering,5–6 hours,More than 6 hours,no,1,Less than 10 hours,yes,moderate,4
14/02/2026 06:22:00,28,médecine,1st,Pediatrics,7–8 hours,2–4 hours,no,1,Less than 10 hours,no,low,3
23/02/2026 23:22:00,24,cycle d'ingénieur,1st,Healthcare IT,Less than 5 hours,More than 6 hours,no,2,20–30 hours,yes,high,8
18/03/2026 22:10:00,18,préparatoire intégrée,2nd,Mathematics,Less than 5 hours,More than 6 hours,no,0,More than 30 hours,yes,moderate,9
21/04/2026 16:45:00,24,mastère,2nd,Cybersecurity,7–8 hours,2–4 hours,yes,1,Less than 10 hours,yes,low,7
23/04/2026 23:17:00,32,doctorat,3rd,Computer science,More than 8 hours,2–4 hours,yes,1,Less than 10 hours,no,low,1
17/02/2026 14:27:00,20,Bachelor degree at TBS,1st,International business,More than 8 hours,Less than 2 hours,yes,0,Less than 10 hours,yes,low,1
27/01/2026 01:11:00,24,cycle d'ingénieur,1st,Data science,5–6 hours,4–6 hours,no,3 or more,Less than 10 hours,yes,moderate,10
07/02/2026 02:19:00,22,cycle d'ingénieur,2nd,Software engineering,More than 8 hours,4–6 hours,no,2,10–20 hours,no,high,1
15/01/2026 19:18:00,21,licence,1st,English,More than 8 hours,2–4 hours,yes,2,20–30 hours,no,low,3
05/04/2026 05:45:00,19,licence,3rd,Philosophy,Less than 5 hours,4–6 hours,no,1,More than 30 hours,yes,high,9
16/03/2026 23:37:00,21,pharmacie,5th,Industrial pharmacy,7–8 hours,More than 6 hours,yes,3 or more,20–30 hours,no,low,1
18/02/2026 11:20:00,25,mastère,2nd,Business law,7–8 hours,2–4 hours,yes,0,10–20 hours,yes,high,4
18/02/2026 06:43:00,23,licence,3rd,Chemistry,7–8 hours,2–4 hours,no,2,Less than 10 hours,no,low,7
23/03/2026 09:43:00,23,cycle d'ingénieur,3rd,Industrial computer science,7–8 hours,Less than 2 hours,no,1,10–20 hours,no,moderate,5
23/01/2026 13:29:00,17,licence,1st,Finance,More than 8 hours,Less than 2 hours,yes,1,Less than 10 hours,yes,low,1
11/02/2026 11:55:00,21,pharmacie,4th,Clinical pharmacy,5–6 hours,2–4 hours,no,1,Less than 10 hours,yes,low,6
19/03/2026 01:44:00,22,pharmacie,2nd,Pharmacology,5–6 hours,More than 6 hours,no,0,20–30 hours,yes,high,10
22/04/2026 02:22:00,23,cycle d'ingénieur,3rd,Mechanical engineering,7–8 hours,More than 6 hours,yes,0,Less than 10 hours,yes,low,5
23/04/2026 05:45:00,23,licence,1st,Biotechnology,7–8 hours,More than 6 hours,no,0,Less than 10 hours,yes,low,3
11/01/2026 08:37:00,21,cycle d'ingénieur,5th,Data science,5–6 hours,2–4 hours,yes,1,More than 30 hours,no,low,5
06/05/2026 12:42:00,29,mastère,1st,Graphic design,More than 8 hours,Less than 2 hours,no,1,20–30 hours,no,moderate,5
17/03/2026 04:13:00,21,cycle d'ingénieur,5th,Software engineering,7–8 hours,2–4 hours,yes,1,10–20 hours,no,moderate,3
28/02/2026 10:04:00,30,doctorat,2nd,Computer science,5–6 hours,More than 6 hours,yes,1,Less than 10 hours,yes,low,3
21/02/2026 12:01:00,31,doctorat,1st,Materials science,More than 8 hours,4–6 hours,yes,3 or more,Less than 10 hours,yes,low,6
11/02/2026 12:57:00,19,licence,3rd,Psychology,7–8 hours,2–4 hours,yes,2,Less than 10 hours,yes,low,4
23/03/2026 09:29:00,23,cycle d'ingénieur,5th,Embedded systems,7–8 hours,4–6 hours,no,3 or more,Less than 10 hours,no,moderate,9
13/03/2026 09:21:00,21,pharmacie,3rd,Pharmacology,Less than 5 hours,More than 6 hours,yes,1,Less than 10 hours,no,low,7
02/02/2026 16:50:00,21,licence,3rd,Finance,5–6 hours,2–4 hours,yes,1,Less than 10 hours,no,moderate,5
22/02/2026 06:01:00,21,préparatoire intégrée,2nd,Engineering sciences,5–6 hours,2–4 hours,no,0,20–30 hours,no,low,4
27/03/2026 08:30:38,22,préparatoire intégrée,2nd,AI,5–6 hours,2–4 hours,no,0,Less than 10 hours,yes,moderate,7
24/04/2026 03:15:00,19,préparatoire intégrée,1st,Mathematics,5–6 hours,Less than 2 hours,yes,0,More than 30 hours,no,low,4
22/03/2026 22:39:17,23,cycle d'ingénieur,2nd,Mechanical engineering ,7–8 hours,2–4 hours,yes,1,10–20 hours,yes,moderate,4
22/04/2026 18:34:00,32,doctorat,2nd,Mathematics,7–8 hours,4–6 hours,yes,0,Less than 10 hours,no,low,3
03/03/2026 22:14:00,19,licence,3rd,Informatique de gestion,Less than 5 hours,2–4 hours,no,1,More than 30 hours,yes,low,5
01/03/2026 05:39:00,22,mastère,1st,Graphic design,5–6 hours,More than 6 hours,no,2,10–20 hours,yes,moderate,5
30/04/2026 09:21:00,23,cycle d'ingénieur,3rd,Mechanical engineering,7–8 hours,More than 6 hours,yes,0,Less than 10 hours,yes,low,5
11/04/2026 15:44:42,23,cycle d'ingénieur,4th,ttis,5–6 hours,2–4 hours,no,0,Less than 10 hours,no,moderate,3
21/03/2026 10:42:00,23,Bachelor degree at TBS,1st,Marketing,Less than 5 hours,4–6 hours,no,3 or more,10–20 hours,yes,high,10
04/04/2026 14:20:42,21,cycle d'ingénieur,2nd,Biomedical engineering ,5–6 hours,More than 6 hours,no,1,Less than 10 hours,yes,moderate,6
25/03/2026 10:01:48,22,cycle d'ingénieur,2nd,STIC,7–8 hours,4–6 hours,no,2,10–20 hours,yes,moderate,4
16/03/2026 11:05:29,21,licence,1st,Law,Less than 5 hours,More than 6 hours,no,2,Less than 10 hours,no,low,7
17/04/2026 04:12:00,18,préparatoire intégrée,2nd,Computer science,7–8 hours,2–4 hours,yes,2,10–20 hours,no,moderate,4
06/03/2026 02:56:00,28,doctorat,3rd,Environmental science,More than 8 hours,2–4 hours,yes,3 or more,Less than 10 hours,no,low,3
11/03/2026 05:32:00,17,préparatoire intégrée,1st,AI,Less than 5 hours,2–4 hours,no,1,10–20 hours,yes,high,10
17/03/2026 16:39:41,18,médecine,1st,Medicine,Less than 5 hours,2–4 hours,no,0,More than 30 hours,no,high,8
18/04/2026 09:43:00,21,licence,2nd,Philosophy,More than 8 hours,4–6 hours,no,1,Less than 10 hours,no,moderate,3
15/02/2026 17:09:00,22,licence,1st,Sciences de gestion,7–8 hours,More than 6 hours,no,0,10–20 hours,yes,moderate,6
14/03/2026 09:44:00,20,pharmacie,1st,Industrial pharmacy,More than 8 hours,4–6 hours,no,0,10–20 hours,yes,low,4
25/03/2026 08:52:00,30,mastère,2nd,Droit / law,7–8 hours,4–6 hours,yes,0,10–20 hours,no,moderate,5
24/03/2026 16:09:00,26,mastère,1st,Droit / law,More than 8 hours,More than 6 hours,yes,2,Less than 10 hours,yes,low,6
18/01/2026 05:56:00,22,licence,3rd,Physics,7–8 hours,4–6 hours,yes,1,10–20 hours,yes,low,2
27/03/2026 16:50:00,21,cycle d'ingénieur,1st,Mechanical engineering,5–6 hours,More than 6 hours,yes,3 or more,Less than 10 hours,yes,low,4
12/02/2026 20:37:00,19,Bachelor degree at TBS,1st,International business,Less than 5 hours,4–6 hours,yes,3 or more,Less than 10 hours,no,moderate,8
17/04/2026 02:02:00,20,pharmacie,5th,Industrial pharmacy,7–8 hours,4–6 hours,yes,0,20–30 hours,yes,low,2
04/02/2026 18:44:00,22,cycle d'ingénieur,3rd,Telecommunications engineering,Less than 5 hours,4–6 hours,no,2,20–30 hours,yes,moderate,8
26/03/2026 17:56:17,22,cycle d'ingénieur,2nd,Mechanical engineering ,7–8 hours,2–4 hours,yes,1,10–20 hours,yes,moderate,3
08/02/2026 00:15:00,21,médecine,1st,Pediatrics,Less than 5 hours,2–4 hours,yes,1,20–30 hours,yes,moderate,6
31/01/2026 07:10:00,20,médecine,5th,Pediatrics,7–8 hours,4–6 hours,yes,1,10–20 hours,yes,low,5
10/03/2026 20:49:28,22,cycle d'ingénieur,2nd,Medical informatics ,5–6 hours,4–6 hours,no,0,Less than 10 hours,no,high,6
25/01/2026 23:08:00,21,cycle d'ingénieur,3rd,Computer science,7–8 hours,2–4 hours,yes,1,Less than 10 hours,no,low,3
10/03/2026 06:22:00,21,licence,2nd,English,5–6 hours,More than 6 hours,no,3 or more,More than 30 hours,yes,high,9
02/04/2026 06:57:00,23,licence,3rd,History,7–8 hours,4–6 hours,no,2,Less than 10 hours,yes,low,1
20/03/2026 18:06:00,22,cycle d'ingénieur,4th,Computer science,7–8 hours,2–4 hours,yes,0,10–20 hours,no,high,5
19/03/2026 04:13:00,26,mastère,1st,Project management,7–8 hours,More than 6 hours,yes,0,10–20 hours,no,low,1
15/04/2026 07:31:00,25,cycle d'ingénieur,2nd,Robotics,5–6 hours,More than 6 hours,yes,3 or more,20–30 hours,yes,high,9
13/02/2026 22:19:00,21,licence,1st,English,5–6 hours,More than 6 hours,yes,0,10–20 hours,yes,moderate,9
20/03/2026 08:34:00,18,préparatoire intégrée,2nd,Physics,5–6 hours,2–4 hours,yes,0,Less than 10 hours,no,low,5
15/01/2026 05:06:00,25,cycle d'ingénieur,4th,Healthcare IT,5–6 hours,2–4 hours,no,2,More than 30 hours,yes,high,10
03/04/2026 20:05:00,23,cycle d'ingénieur,4th,Civil engineering,7–8 hours,4–6 hours,no,0,More than 30 hours,yes,high,5
02/03/2026 02:54:00,23,mastère,1st,Business law,7–8 hours,2–4 hours,no,1,20–30 hours,yes,high,5
01/04/2026 16:20:00,25,médecine,6th,Surgery,5–6 hours,4–6 hours,yes,3 or more,10–20 hours,yes,low,3
20/01/2026 14:31:00,21,mastère,2nd,Environmental science,5–6 hours,More than 6 hours,yes,1,10–20 hours,yes,moderate,10
29/01/2026 01:24:00,26,pharmacie,5th,Clinical pharmacy,5–6 hours,More than 6 hours,yes,0,10–20 hours,no,low,2
12/04/2026 20:37:00,20,licence,2nd,Informatique de gestion,5–6 hours,More than 6 hours,no,0,10–20 hours,yes,moderate,3
09/04/2026 20:35:00,20,pharmacie,5th,Clinical pharmacy,More than 8 hours,4–6 hours,no,2,20–30 hours,yes,high,7
11/02/2026 21:09:00,23,cycle d'ingénieur,5th,Software engineering,Less than 5 hours,4–6 hours,no,0,10–20 hours,no,moderate,5
25/02/2026 01:18:00,21,cycle d'ingénieur,1st,Mechanical engineering,More than 8 hours,More than 6 hours,yes,2,20–30 hours,yes,low,5
03/04/2026 06:42:00,21,cycle d'ingénieur,5th,Embedded systems,7–8 hours,4–6 hours,no,3 or more,Less than 10 hours,no,moderate,10
21/02/2026 08:13:00,23,pharmacie,5th,Clinical pharmacy,More than 8 hours,4–6 hours,no,0,10–20 hours,no,moderate,8
12/04/2026 09:26:00,23,cycle d'ingénieur,3rd,Computer science,7–8 hours,More than 6 hours,no,1,20–30 hours,no,moderate,6
22/04/2026 13:57:00,26,cycle d'ingénieur,5th,Robotics,7–8 hours,4–6 hours,yes,2,Less than 10 hours,no,low,5
21/04/2026 11:57:00,21,licence,3rd,Mathematics,Less than 5 hours,4–6 hours,no,1,Less than 10 hours,yes,low,8
01/02/2026 17:16:00,19,médecine,5th,Pediatrics,7–8 hours,4–6 hours,yes,1,10–20 hours,yes,low,5
18/03/2026 22:28:29,19,licence,1st,Law,Less than 5 hours,More than 6 hours,no,2,Less than 10 hours,no,low,6
24/03/2026 00:02:00,23,cycle d'ingénieur,3rd,Telecommunications engineering,5–6 hours,4–6 hours,no,3 or more,20–30 hours,yes,moderate,7
15/03/2026 22:51:00,18,licence,2nd,Marketing,5–6 hours,2–4 hours,no,0,Less than 10 hours,no,moderate,5
06/04/2026 00:59:42,20,cycle d'ingénieur,4th,ttis,5–6 hours,2–4 hours,no,0,Less than 10 hours,no,moderate,3
02/03/2026 04:35:05,19,licence,1st,Économie ,7–8 hours,More than 6 hours,no,2,Less than 10 hours,yes,moderate,6
04/04/2026 09:37:49,22,licence,2nd,IT,Less than 5 hours,More than 6 hours,no,3 or more,Less than 10 hours,yes,low,7
13/02/2026 20:53:00,23,licence,2nd,Physics,More than 8 hours,4–6 hours,no,3 or more,20–30 hours,no,moderate,4
06/02/2026 08:16:00,26,cycle d'ingénieur,1st,Civil engineering,Less than 5 hours,More than 6 hours,no,1,20–30 hours,no,moderate,7
20/01/2026 11:30:00,20,cycle d'ingénieur,3rd,Embedded systems,5–6 hours,More than 6 hours,no,3 or more,20–30 hours,yes,moderate,7
31/01/2026 19:24:00,20,licence,3rd,Économie,7–8 hours,More than 6 hours,yes,0,20–30 hours,no,moderate,9
10/02/2026 12:26:00,23,licence,3rd,Law,Less than 5 hours,More than 6 hours,no,1,20–30 hours,yes,high,10
15/02/2026 12:45:00,20,licence,2nd,Physics,Less than 5 hours,More than 6 hours,no,2,20–30 hours,yes,low,7
19/02/2026 07:53:00,28,cycle d'ingénieur,3rd,Biomedical engineering,Less than 5 hours,More than 6 hours,no,1,10–20 hours,no,moderate,9
26/02/2026 00:01:00,21,licence,2nd,Philosophy,More than 8 hours,4–6 hours,yes,1,10–20 hours,yes,moderate,10
03/03/2026 01:16:00,28,cycle d'ingénieur,5th,Software engineering,More than 8 hours,4–6 hours,yes,1,20–30 hours,no,low,2
26/02/2026 11:07:00,20,pharmacie,5th,Pharmacology,5–6 hours,4–6 hours,no,3 or more,More than 30 hours,no,high,10
09/04/2026 20:08:51,20,cycle d'ingénieur,4th,**,5–6 hours,4–6 hours,no,0,10–20 hours,no,moderate,3
14/03/2026 22:00:29,19,licence,1st,Law,Less than 5 hours,More than 6 hours,no,2,Less than 10 hours,no,low,6
16/02/2026 17:42:00,25,mastère,1st,Project management,7–8 hours,4–6 hours,yes,0,10–20 hours,yes,low,2
16/02/2026 21:34:00,23,licence,2nd,Accounting,7–8 hours,4–6 hours,yes,3 or more,Less than 10 hours,yes,low,7
08/03/2026 21:12:34,19,licence,1st,Biotechnology ,Less than 5 hours,More than 6 hours,no,1,Less than 10 hours,no,moderate,10
07/02/2026 12:42:00,21,licence,3rd,Law,More than 8 hours,2–4 hours,yes,0,Less than 10 hours,yes,low,4
21/03/2026 13:47:00,19,licence,3rd,Chemistry,Less than 5 hours,More than 6 hours,no,3 or more,10–20 hours,yes,moderate,8
21/04/2026 01:12:00,28,mastère,2nd,Droit / law,7–8 hours,More than 6 hours,no,1,20–30 hours,yes,high,8
11/01/2026 04:04:00,25,mastère,2nd,Cybersecurity,7–8 hours,2–4 hours,no,3 or more,More than 30 hours,no,high,7
08/01/2026 01:40:00,24,mastère,1st,Graphic design,Less than 5 hours,4–6 hours,no,0,More than 30 hours,yes,moderate,10
22/04/2026 11:43:00,24,licence,1st,Marketing,Less than 5 hours,2–4 hours,no,1,Less than 10 hours,yes,low,8
26/01/2026 14:13:00,19,préparatoire intégrée,1st,Biology,5–6 hours,More than 6 hours,yes,2,10–20 hours,no,moderate,5
08/04/2026 11:40:00,23,cycle d'ingénieur,4th,Biomedical engineering,7–8 hours,2–4 hours,yes,2,Less than 10 hours,yes,low,1
28/01/2026 16:14:00,19,licence,1st,Law,More than 8 hours,4–6 hours,yes,2,10–20 hours,yes,high,6
16/04/2026 23:36:00,22,cycle d'ingénieur,5th,Electrical engineering,Less than 5 hours,2–4 hours,no,0,20–30 hours,no,high,7
12/03/2026 21:17:00,17,pharmacie,1st,Industrial pharmacy,More than 8 hours,4–6 hours,no,0,10–20 hours,yes,low,3
22/03/2026 12:24:00,21,licence,1st,Économie,5–6 hours,More than 6 hours,no,1,More than 30 hours,no,high,8
16/02/2026 09:27:00,22,cycle d'ingénieur,1st,Telecommunications engineering,5–6 hours,2–4 hours,no,2,10–20 hours,yes,moderate,8
03/03/2026 05:47:00,21,licence,3rd,Marketing,5–6 hours,More than 6 hours,yes,0,Less than 10 hours,yes,low,4
28/01/2026 06:04:00,33,doctorat,3rd,Mathematics,Less than 5 hours,Less than 2 hours,no,3 or more,20–30 hours,yes,moderate,6
02/03/2026 02:00:54,20,cycle d'ingénieur,1st,Computer science ,Less than 5 hours,More than 6 hours,yes,0,Less than 10 hours,no,low,4
09/04/2026 20:35:00,27,mastère,1st,Droit / law,7–8 hours,More than 6 hours,yes,2,Less than 10 hours,yes,low,6
12/02/2026 23:04:00,21,licence,3rd,Sciences de gestion,5–6 hours,2–4 hours,no,1,10–20 hours,no,low,1
14/04/2026 15:20:00,21,cycle d'ingénieur,4th,Data science,5–6 hours,2–4 hours,no,1,10–20 hours,no,high,7
09/03/2026 14:59:00,21,médecine,2nd,Neurology,7–8 hours,More than 6 hours,yes,1,10–20 hours,yes,low,2
07/04/2026 09:00:00,20,préparatoire intégrée,2nd,Biology,Less than 5 hours,4–6 hours,no,2,More than 30 hours,yes,high,10
19/03/2026 02:32:00,20,cycle d'ingénieur,4th,Telecommunications engineering,More than 8 hours,2–4 hours,no,0,10–20 hours,no,high,10
22/01/2026 22:46:00,21,médecine,5th,Neurology,5–6 hours,More than 6 hours,no,1,Less than 10 hours,yes,high,9
10/02/2026 20:27:00,26,cycle d'ingénieur,1st,Civil engineering,Less than 5 hours,More than 6 hours,no,1,20–30 hours,no,moderate,6
31/03/2026 05:49:00,23,cycle d'ingénieur,4th,Data science,7–8 hours,More than 6 hours,yes,1,Less than 10 hours,yes,low,6
28/03/2026 11:03:00,23,cycle d'ingénieur,4th,Mechanical engineering,7–8 hours,4–6 hours,no,1,20–30 hours,no,moderate,2
13/01/2026 04:32:00,20,préparatoire intégrée,1st,Computer science,More than 8 hours,More than 6 hours,no,0,Less than 10 hours,no,moderate,7
11/03/2026 17:25:00,22,cycle d'ingénieur,3rd,Industrial computer science,7–8 hours,More than 6 hours,no,1,10–20 hours,no,high,9
18/02/2026 06:54:00,19,licence,1st,Law,7–8 hours,Less than 2 hours,no,0,20–30 hours,yes,low,2
26/01/2026 21:26:00,23,licence,2nd,Web development,More than 8 hours,2–4 hours,no,2,More than 30 hours,yes,moderate,7
03/05/2026 18:30:00,24,licence,1st,Philosophy,7–8 hours,2–4 hours,yes,2,10–20 hours,yes,moderate,6
01/05/2026 06:13:00,28,mastère,1st,Graphic design,More than 8 hours,Less than 2 hours,no,1,20–30 hours,no,moderate,4
23/02/2026 23:01:00,18,pharmacie,1st,Industrial pharmacy,5–6 hours,4–6 hours,yes,0,20–30 hours,yes,moderate,8
20/03/2026 15:18:00,23,cycle d'ingénieur,5th,Cybersecurity,Less than 5 hours,2–4 hours,no,1,Less than 10 hours,no,high,10
17/03/2026 13:30:00,22,cycle d'ingénieur,2nd,Robotics,Less than 5 hours,2–4 hours,no,3 or more,More than 30 hours,yes,high,9
31/03/2026 03:37:00,25,cycle d'ingénieur,2nd,Robotics,5–6 hours,More than 6 hours,yes,3 or more,20–30 hours,yes,high,10
22/02/2026 22:52:00,22,licence,2nd,Physics,7–8 hours,4–6 hours,no,3 or more,20–30 hours,no,moderate,5
27/01/2026 02:17:00,26,cycle d'ingénieur,5th,Healthcare IT,7–8 hours,4–6 hours,no,2,20–30 hours,no,low,1
10/03/2026 12:59:00,23,cycle d'ingénieur,4th,Biomedical engineering,5–6 hours,2–4 hours,no,3 or more,Less than 10 hours,yes,low,8
30/03/2026 02:21:00,23,cycle d'ingénieur,3rd,Industrial computer science,7–8 hours,Less than 2 hours,no,1,10–20 hours,no,moderate,5
27/03/2026 21:26:49,21,licence,2nd,IT,Less than 5 hours,More than 6 hours,no,3 or more,Less than 10 hours,yes,low,9
21/02/2026 02:53:00,23,cycle d'ingénieur,5th,Industrial computer science,7–8 hours,2–4 hours,no,1,20–30 hours,yes,low,5
12/02/2026 11:39:00,22,licence,2nd,Accounting,More than 8 hours,4–6 hours,yes,3 or more,Less than 10 hours,yes,low,7
06/03/2026 16:48:00,25,mastère,1st,Cybersecurity,5–6 hours,4–6 hours,no,0,20–30 hours,yes,moderate,10
